epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,116.43,0.92625,1.16969,1.1512,0.39456,0.41819,0.38441,0.24608,1.50462,2.4371,1.74995,0.00108088,0.00108088,0.00108088
43,119.235,0.83904,1.12277,1.0627,0.43321,0.32587,0.36128,0.24987,1.45563,2.44934,1.72759,0.00107675,0.00107675,0.00107675
44,122.051,0.89499,1.22291,1.09144,0.33319,0.35202,0.36209,0.23823,1.39353,2.43047,1.62862,0.00107263,0.00107263,0.00107263
45,124.748,0.8305,1.25099,1.08369,0.39932,0.37747,0.359,0.23147,1.45111,2.38,1.62156,0.0010685,0.0010685,0.0010685
46,127.399,0.90515,1.12703,1.11635,0.34333,0.34925,0.33846,0.22736,1.4247,2.2361,1.5873,0.00106437,0.00106437,0.00106437
47,130.136,0.80384,1.13563,1.06138,0.32798,0.39886,0.35138,0.22652,1.45006,2.25102,1.62371,0.00106025,0.00106025,0.00106025
48,132.792,0.84447,1.2428,1.08352,0.31161,0.40637,0.35429,0.23189,1.49928,2.33988,1.70163,0.00105612,0.00105612,0.00105612
49,135.612,0.82535,1.20147,1.09717,0.43238,0.27474,0.34217,0.21862,1.54002,2.33359,1.7235,0.001052,0.001052,0.001052
50,138.387,0.85079,1.20265,1.10265,0.33973,0.33539,0.30507,0.18487,1.62934,2.39289,1.82103,0.00104787,0.00104787,0.00104787
51,141.151,0.76931,1.10808,1.06995,0.24537,0.3612,0.26485,0.15346,1.67469,2.56014,1.88929,0.00104375,0.00104375,0.00104375
52,143.913,0.82235,1.11741,1.04726,0.27505,0.36778,0.26599,0.14479,1.66524,2.57419,1.85226,0.00103962,0.00103962,0.00103962
53,146.728,0.8153,1.23435,1.07446,0.64489,0.27479,0.30531,0.15999,1.66897,2.43505,1.87752,0.0010355,0.0010355,0.0010355
54,149.511,0.83673,1.07394,1.06789,0.44626,0.37057,0.34601,0.20434,1.63469,2.38094,1.81254,0.00103138,0.00103138,0.00103138
55,152.204,0.86223,1.16184,1.0589,0.42999,0.33518,0.35483,0.19902,1.55384,2.33781,1.71946,0.00102725,0.00102725,0.00102725
56,155.275,0.82708,1.05183,1.05092,0.33862,0.36809,0.3508,0.21986,1.48916,2.38829,1.63549,0.00102312,0.00102312,0.00102312
57,157.985,0.94372,1.45368,1.22216,0.49431,0.33226,0.37048,0.23136,1.46354,2.28612,1.63138,0.001019,0.001019,0.001019
58,160.652,0.84698,1.20511,1.0807,0.43652,0.32556,0.39134,0.23835,1.53274,2.22605,1.6609,0.00101488,0.00101488,0.00101488
59,163.29,0.79871,1.01738,1.05059,0.3202,0.46817,0.37671,0.24292,1.49143,2.14898,1.6232,0.00101075,0.00101075,0.00101075
60,165.927,0.77057,1.11172,1.06487,0.61993,0.31005,0.40246,0.2445,1.60131,2.14492,1.74829,0.00100663,0.00100663,0.00100663
61,168.579,0.83674,1.02454,1.0589,0.44847,0.45817,0.44182,0.24443,1.57331,1.96586,1.75026,0.0010025,0.0010025,0.0010025
62,171.229,0.82335,1.04332,1.03266,0.43858,0.36064,0.39147,0.24693,1.54373,2.23083,1.79398,0.000998375,0.000998375,0.000998375
63,173.942,0.90174,1.14911,1.12536,0.49046,0.36174,0.39113,0.24709,1.47221,2.39342,1.70303,0.00099425,0.00099425,0.00099425
64,176.639,0.7829,0.95802,1.02872,0.47721,0.42363,0.42165,0.27306,1.4592,2.12921,1.63799,0.000990125,0.000990125,0.000990125
65,179.336,0.79123,1.02522,1.03783,0.49926,0.48569,0.45708,0.29327,1.46291,2.05179,1.64527,0.000986,0.000986,0.000986
66,182.081,0.74061,0.95301,1.01253,0.48634,0.46933,0.46524,0.29283,1.44802,1.96396,1.63564,0.000981875,0.000981875,0.000981875
67,184.726,0.75707,0.91094,1.01887,0.4301,0.48712,0.48803,0.29444,1.4816,1.93827,1.66377,0.00097775,0.00097775,0.00097775
68,187.441,0.77091,0.94084,1.01905,0.49091,0.41572,0.44301,0.29469,1.47559,2.01373,1.63835,0.000973625,0.000973625,0.000973625
69,190.876,0.77265,0.96792,1.01673,0.6273,0.28214,0.3955,0.26105,1.5303,2.10587,1.67278,0.0009695,0.0009695,0.0009695
70,193.574,0.81804,0.99929,1.05887,0.64563,0.27343,0.3653,0.22227,1.55972,2.20144,1.68085,0.000965375,0.000965375,0.000965375
71,196.282,0.76323,0.88353,1.00493,0.45871,0.34467,0.38849,0.24298,1.55155,2.21149,1.68726,0.00096125,0.00096125,0.00096125
72,198.966,0.89735,1.41062,1.15087,0.37997,0.43361,0.38986,0.24246,1.59968,2.09786,1.77137,0.000957125,0.000957125,0.000957125
73,201.641,0.7603,0.94028,0.99815,0.40549,0.45444,0.39689,0.25713,1.57603,2.09137,1.75163,0.000953,0.000953,0.000953
74,204.349,0.78229,0.91305,1.02239,0.37708,0.47021,0.39179,0.24199,1.61217,2.05748,1.76546,0.000948875,0.000948875,0.000948875
75,207.09,0.79249,1.09813,1.04754,0.42083,0.45146,0.40724,0.23715,1.60709,2.02704,1.77886,0.00094475,0.00094475,0.00094475
76,209.781,0.76395,0.93378,1.06221,0.41411,0.44213,0.39567,0.23447,1.60695,2.10161,1.73762,0.000940625,0.000940625,0.000940625
77,212.467,0.74195,0.93888,1.0261,0.42272,0.41471,0.41834,0.241,1.59421,2.14342,1.7535,0.0009365,0.0009365,0.0009365
78,215.164,0.7549,0.87669,1.01826,0.45289,0.43771,0.42276,0.26097,1.55114,2.23478,1.71622,0.000932375,0.000932375,0.000932375
79,217.851,0.77514,0.92065,1.04148,0.48458,0.40363,0.43176,0.22671,1.53999,2.22915,1.71528,0.00092825,0.00092825,0.00092825
80,220.497,0.72896,0.97381,1.00295,0.49914,0.33533,0.38833,0.21908,1.49843,2.20774,1.70141,0.000924125,0.000924125,0.000924125
81,223.225,0.75073,0.90675,1.0192,0.45253,0.39742,0.38526,0.2449,1.45344,2.18064,1.67334,0.00092,0.00092,0.00092
82,225.936,0.74539,0.95385,1.0123,0.43106,0.41768,0.38104,0.25497,1.44945,2.08892,1.67453,0.000915875,0.000915875,0.000915875
83,228.596,0.67656,0.82851,0.98597,0.44813,0.42691,0.3964,0.2621,1.49437,2.13253,1.74116,0.00091175,0.00091175,0.00091175
84,231.328,0.7061,0.87524,0.99329,0.44595,0.41429,0.40452,0.25763,1.49197,2.16797,1.68898,0.000907625,0.000907625,0.000907625
85,233.982,0.69491,0.84159,1.01146,0.40134,0.4165,0.40557,0.25895,1.50215,2.21689,1.69218,0.0009035,0.0009035,0.0009035
86,236.674,0.6821,0.97293,0.97385,0.45499,0.41374,0.43456,0.28085,1.41909,2.15314,1.63339,0.000899375,0.000899375,0.000899375
87,239.358,0.71569,0.83715,1.00347,0.39805,0.4534,0.44528,0.28196,1.39217,2.10583,1.59967,0.00089525,0.00089525,0.00089525
88,242.053,0.71703,0.84466,1.00724,0.39159,0.52514,0.44956,0.28452,1.41399,2.0784,1.62516,0.000891125,0.000891125,0.000891125
89,244.705,0.67505,0.85964,1.0017,0.405,0.42714,0.44261,0.27609,1.43318,2.12919,1.6459,0.000887,0.000887,0.000887
90,247.408,0.65439,0.78798,0.97007,0.57128,0.37616,0.45977,0.26811,1.44719,2.12359,1.68011,0.000882875,0.000882875,0.000882875
91,250.051,0.74501,0.86957,1.01662,0.62137,0.37255,0.46886,0.28817,1.43591,2.0891,1.66063,0.00087875,0.00087875,0.00087875
92,252.731,0.68666,0.80677,0.97985,0.49903,0.42634,0.47003,0.31283,1.41256,2.08033,1.6174,0.000874625,0.000874625,0.000874625
93,255.819,0.65889,0.85619,0.98094,0.59087,0.39144,0.47807,0.31908,1.41984,2.0162,1.62176,0.0008705,0.0008705,0.0008705
94,258.565,0.70822,0.80998,0.98217,0.50042,0.44156,0.45138,0.30287,1.47129,2.01984,1.6555,0.000866375,0.000866375,0.000866375
95,261.227,0.69117,1.27436,1.04772,0.5877,0.3801,0.44451,0.30357,1.4515,1.99982,1.62599,0.00086225,0.00086225,0.00086225
