epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,118.402,0.94272,1.27865,1.13371,0.33903,0.47326,0.36271,0.18525,1.56138,2.65351,1.72498,0.00114853,0.00114853,0.00114853
43,121.04,0.97715,1.2839,1.15443,0.26777,0.48572,0.33687,0.15104,1.62356,2.64577,1.82726,0.00114605,0.00114605,0.00114605
44,123.786,0.98929,1.37375,1.19425,0.37284,0.32129,0.34971,0.17902,1.60201,2.40411,1.75451,0.00114357,0.00114357,0.00114357
45,126.424,0.9468,1.30584,1.13098,0.45024,0.41104,0.37279,0.20263,1.60358,2.39912,1.76147,0.0011411,0.0011411,0.0011411
46,129.2,0.95467,1.26321,1.12113,0.38894,0.44049,0.37835,0.20117,1.5489,2.51678,1.7322,0.00113863,0.00113863,0.00113863
47,131.853,0.86166,1.23757,1.09927,0.32934,0.48059,0.34038,0.19584,1.56661,2.46181,1.72945,0.00113615,0.00113615,0.00113615
48,134.507,0.97538,1.36079,1.12499,0.35427,0.36011,0.33103,0.19188,1.6445,2.31061,1.79535,0.00113368,0.00113368,0.00113368
49,137.158,0.92789,1.29617,1.12894,0.4036,0.36465,0.37246,0.18702,1.61895,2.35527,1.81637,0.0011312,0.0011312,0.0011312
50,139.835,0.93871,1.27871,1.15245,0.37361,0.39125,0.34095,0.18572,1.69269,2.38515,1.87654,0.00112873,0.00112873,0.00112873
51,142.469,0.87614,1.25268,1.12146,0.29203,0.4169,0.34441,0.1956,1.6781,2.38956,1.83664,0.00112625,0.00112625,0.00112625
52,145.122,0.92211,1.18911,1.09662,0.38235,0.2889,0.36002,0.20883,1.64826,2.34785,1.78744,0.00112378,0.00112378,0.00112378
53,147.853,0.92796,1.40055,1.11808,0.43894,0.3453,0.39109,0.22292,1.58541,2.28156,1.72812,0.0011213,0.0011213,0.0011213
54,150.623,0.93791,1.20854,1.12419,0.56738,0.30279,0.40361,0.23737,1.5597,2.31599,1.72093,0.00111882,0.00111882,0.00111882
55,153.342,0.9958,1.28033,1.11971,0.56088,0.36717,0.4147,0.24291,1.5589,2.299,1.70833,0.00111635,0.00111635,0.00111635
56,156.107,0.88422,1.13423,1.07177,0.421,0.40303,0.36,0.20234,1.66755,2.36371,1.74931,0.00111388,0.00111388,0.00111388
57,158.745,1.02708,1.44699,1.31795,0.40404,0.39545,0.35532,0.20243,1.60828,2.32032,1.69436,0.0011114,0.0011114,0.0011114
58,161.56,0.9222,1.25426,1.14224,0.51889,0.4003,0.43507,0.24562,1.63367,2.28475,1.74088,0.00110892,0.00110892,0.00110892
59,164.666,0.87152,1.13149,1.10478,0.47536,0.45392,0.42607,0.24075,1.57175,2.28626,1.69599,0.00110645,0.00110645,0.00110645
60,167.407,0.93054,1.22209,1.19085,0.49043,0.40566,0.40266,0.22525,1.54423,2.21779,1.64295,0.00110397,0.00110397,0.00110397
61,170.216,0.90269,1.1371,1.07513,0.46572,0.47311,0.42206,0.24022,1.52526,2.12549,1.64384,0.0011015,0.0011015,0.0011015
62,172.981,0.88781,1.14874,1.07565,0.45851,0.41853,0.4051,0.24036,1.5452,2.15621,1.69872,0.00109903,0.00109903,0.00109903
63,175.721,0.96651,1.20366,1.16668,0.52256,0.39722,0.4077,0.24322,1.50724,2.17132,1.7058,0.00109655,0.00109655,0.00109655
64,178.376,0.89699,1.02993,1.08559,0.58206,0.26066,0.34696,0.21178,1.49589,2.67133,1.68004,0.00109408,0.00109408,0.00109408
65,181.129,0.84611,1.0477,1.09097,0.53566,0.25516,0.32993,0.20253,1.49151,2.79143,1.66005,0.0010916,0.0010916,0.0010916
66,183.801,0.84336,1.04605,1.06188,0.59668,0.27991,0.38512,0.21921,1.52802,2.55163,1.71677,0.00108913,0.00108913,0.00108913
67,186.435,0.8627,1.05516,1.05876,0.47964,0.36487,0.39067,0.22593,1.49937,2.46969,1.69222,0.00108665,0.00108665,0.00108665
68,189.104,0.87364,1.06868,1.06988,0.60625,0.30314,0.40198,0.22949,1.53553,2.34372,1.69537,0.00108417,0.00108417,0.00108417
69,191.734,0.92591,1.09991,1.10757,0.48903,0.36767,0.38318,0.23304,1.49666,2.32941,1.67111,0.0010817,0.0010817,0.0010817
70,194.375,0.89826,1.01864,1.09691,0.36044,0.42495,0.40582,0.24108,1.52057,2.29315,1.68498,0.00107923,0.00107923,0.00107923
71,197.145,0.87645,0.9559,1.05854,0.45364,0.3963,0.42711,0.24043,1.48701,2.30877,1.6617,0.00107675,0.00107675,0.00107675
72,199.854,0.83146,1.26067,1.10031,0.46025,0.40792,0.40375,0.24846,1.48918,2.42536,1.65883,0.00107427,0.00107427,0.00107427
73,202.539,0.80724,1.02114,1.01425,0.42028,0.4412,0.41127,0.25042,1.48066,2.50807,1.65247,0.0010718,0.0010718,0.0010718
74,205.301,0.8574,1.00688,1.09088,0.4148,0.45347,0.45186,0.30094,1.40954,2.14389,1.58923,0.00106933,0.00106933,0.00106933
75,208.178,0.88286,1.13231,1.07387,0.50982,0.44402,0.46593,0.31231,1.36692,1.96753,1.5396,0.00106685,0.00106685,0.00106685
76,210.937,0.80812,1.00076,1.08146,0.46343,0.43721,0.44403,0.30518,1.3675,1.93406,1.55575,0.00106437,0.00106437,0.00106437
77,213.557,0.84467,0.99476,1.08077,0.44498,0.44307,0.43878,0.28724,1.40527,2.04163,1.577,0.0010619,0.0010619,0.0010619
78,216.313,0.84526,0.9735,1.06169,0.38158,0.4567,0.39404,0.25317,1.45835,2.19009,1.67123,0.00105942,0.00105942,0.00105942
79,218.958,0.845,0.98122,1.05765,0.35195,0.49277,0.39821,0.25748,1.47872,2.12724,1.64956,0.00105695,0.00105695,0.00105695
80,221.587,0.84305,1.06756,1.06296,0.41942,0.50359,0.43309,0.26497,1.45097,2.06929,1.59419,0.00105448,0.00105448,0.00105448
81,224.214,0.78516,0.93994,1.05765,0.38341,0.51442,0.4461,0.26544,1.43782,2.08616,1.57458,0.001052,0.001052,0.001052
82,226.859,0.79295,0.95056,1.08069,0.4149,0.56621,0.48815,0.29738,1.47288,1.97972,1.63864,0.00104952,0.00104952,0.00104952
83,229.48,0.73881,0.90091,1.02705,0.44312,0.51642,0.49163,0.29503,1.44028,2.03033,1.63924,0.00104705,0.00104705,0.00104705
84,232.152,0.77014,0.93685,1.03553,0.45103,0.48098,0.43583,0.28136,1.46713,2.02255,1.68273,0.00104458,0.00104458,0.00104458
85,234.868,0.7721,0.96598,1.04582,0.52802,0.48693,0.44302,0.28099,1.48832,2.01912,1.68877,0.0010421,0.0010421,0.0010421
86,237.53,0.77236,1.0273,1.03678,0.48195,0.46541,0.45476,0.28771,1.50011,1.91139,1.6559,0.00103962,0.00103962,0.00103962
87,240.151,0.76941,0.91916,1.0353,0.56824,0.48234,0.47618,0.29685,1.48053,1.87879,1.6562,0.00103715,0.00103715,0.00103715
88,242.811,0.76289,0.92997,1.03471,0.54053,0.49309,0.47784,0.289,1.49239,2.10601,1.68108,0.00103468,0.00103468,0.00103468
89,245.439,0.754,0.93521,1.03993,0.54383,0.46929,0.45045,0.25176,1.54786,2.14023,1.67451,0.0010322,0.0010322,0.0010322
90,248.104,0.78358,0.90321,1.03828,0.46224,0.47264,0.45591,0.23513,1.62853,2.05684,1.7035,0.00102972,0.00102972,0.00102972
91,250.75,0.85544,1.03682,1.06279,0.60715,0.4451,0.46852,0.25085,1.60794,1.99847,1.75068,0.00102725,0.00102725,0.00102725
92,253.407,0.77149,0.90852,1.03263,0.66279,0.46288,0.46274,0.25918,1.60613,1.98972,1.78484,0.00102478,0.00102478,0.00102478
93,256.03,0.81347,0.90933,1.02793,0.56782,0.50176,0.45525,0.25523,1.57659,1.98696,1.79384,0.0010223,0.0010223,0.0010223
94,258.694,0.77041,0.83789,1.00713,0.56178,0.44561,0.4351,0.24183,1.60853,2.02533,1.8003,0.00101983,0.00101983,0.00101983
95,261.438,0.90245,1.43115,1.15531,0.51876,0.45387,0.43983,0.25722,1.5839,1.97974,1.77042,0.00101735,0.00101735,0.00101735
96,264.098,0.75616,0.85896,1.02512,0.38897,0.46332,0.39786,0.23099,1.57926,2.09104,1.7786,0.00101488,0.00101488,0.00101488
97,266.737,0.78381,0.94817,1.011,0.43115,0.39833,0.39656,0.2241,1.55869,2.15857,1.7686,0.0010124,0.0010124,0.0010124
98,269.418,0.75766,0.90302,1.02293,0.41907,0.45863,0.40259,0.21821,1.56824,2.12205,1.7651,0.00100993,0.00100993,0.00100993
99,272.065,0.81104,0.93386,1.09145,0.48984,0.41152,0.41235,0.22331,1.54302,2.02357,1.74355,0.00100745,0.00100745,0.00100745
100,274.81,0.75562,0.83224,1.01871,0.4975,0.44689,0.43979,0.24094,1.60538,1.99705,1.79596,0.00100497,0.00100497,0.00100497
101,277.435,0.79396,0.86285,1.0276,0.5725,0.39899,0.4469,0.25261,1.59666,2.01837,1.76867,0.0010025,0.0010025,0.0010025
102,280.1,0.75412,0.86572,1.01715,0.44193,0.48849,0.45781,0.27253,1.5539,2.06125,1.68046,0.00100003,0.00100003,0.00100003
103,282.735,0.78147,1.02057,1.03828,0.56637,0.38243,0.44017,0.26675,1.56522,2.1553,1.65976,0.00099755,0.00099755,0.00099755
104,285.381,0.74245,0.81195,1.02462,0.56404,0.47206,0.45591,0.28121,1.54342,2.20273,1.62469,0.000995075,0.000995075,0.000995075
105,288.054,0.7486,0.84056,1.03474,0.52224,0.47013,0.46305,0.2662,1.49751,2.22516,1.58449,0.0009926,0.0009926,0.0009926
106,290.702,0.77457,0.88872,1.03667,0.62432,0.41328,0.44097,0.28078,1.49743,2.07743,1.56897,0.000990125,0.000990125,0.000990125
107,293.351,0.78573,0.9035,1.01631,0.49753,0.42833,0.41086,0.25884,1.5091,1.99614,1.59791,0.00098765,0.00098765,0.00098765
108,295.998,0.73343,0.87998,1.00165,0.39303,0.38958,0.34459,0.21052,1.55698,2.06356,1.69026,0.000985175,0.000985175,0.000985175
109,298.659,0.77093,0.93987,1.06641,0.49951,0.3717,0.35372,0.20378,1.54982,2.0197,1.6858,0.0009827,0.0009827,0.0009827
110,301.32,0.75267,0.87231,1.02343,0.57507,0.42633,0.43009,0.2484,1.4599,2.07731,1.60206,0.000980225,0.000980225,0.000980225
111,303.96,0.75169,0.82379,1.00742,0.64996,0.47477,0.46934,0.27236,1.45148,2.10943,1.59278,0.00097775,0.00097775,0.00097775
112,306.634,0.71224,0.76496,1.01065,0.46859,0.52154,0.46368,0.29009,1.3883,2.11638,1.56668,0.000975275,0.000975275,0.000975275
113,309.273,0.71926,0.8695,1.00269,0.49421,0.39423,0.43292,0.29102,1.44217,2.14925,1.62527,0.0009728,0.0009728,0.0009728
114,311.928,0.7314,0.79793,0.99769,0.51914,0.31105,0.39179,0.26132,1.50981,2.3335,1.70117,0.000970325,0.000970325,0.000970325
115,314.636,0.74038,0.76023,1.05694,0.62699,0.26788,0.39414,0.26501,1.50458,2.38899,1.71217,0.00096785,0.00096785,0.00096785
116,317.295,0.69564,0.78846,0.99685,0.48706,0.34874,0.41929,0.2728,1.53658,2.29825,1.72267,0.000965375,0.000965375,0.000965375
117,319.943,0.78334,1.01793,1.0044,0.55844,0.32791,0.40209,0.24602,1.5623,2.24623,1.74855,0.0009629,0.0009629,0.0009629
118,322.589,0.78366,0.81254,1.02401,0.3933,0.39601,0.38408,0.2467,1.51897,2.23339,1.73768,0.000960425,0.000960425,0.000960425
119,325.224,0.79745,0.8721,1.08361,0.47372,0.36563,0.39439,0.24379,1.50138,2.24078,1.72353,0.00095795,0.00095795,0.00095795
120,327.88,0.73844,0.78203,1.00961,0.413,0.4687,0.41948,0.25623,1.50283,2.13828,1.73541,0.000955475,0.000955475,0.000955475
121,330.534,0.75312,0.80195,0.99709,0.51072,0.42745,0.44123,0.26741,1.49657,2.03965,1.72233,0.000953,0.000953,0.000953
122,333.199,0.74716,0.78635,1.00884,0.57283,0.43729,0.48892,0.30523,1.50173,1.88601,1.67412,0.000950525,0.000950525,0.000950525
123,335.855,0.72784,0.83875,1.01412,0.62591,0.43831,0.49202,0.31228,1.47631,1.88888,1.63203,0.00094805,0.00094805,0.00094805
124,338.535,0.71315,0.8074,1.00011,0.58507,0.42289,0.47886,0.32229,1.4322,2.00328,1.63332,0.000945575,0.000945575,0.000945575
125,341.279,0.73082,0.80939,1.01391,0.60846,0.37074,0.4681,0.3126,1.42293,1.97858,1.64364,0.0009431,0.0009431,0.0009431
126,343.934,0.72054,0.77782,1.01484,0.71795,0.4081,0.46407,0.2985,1.44618,1.96675,1.66079,0.000940625,0.000940625,0.000940625
127,346.595,0.74397,0.80982,1.03106,0.76335,0.41005,0.47754,0.30532,1.45361,1.94204,1.67479,0.00093815,0.00093815,0.00093815
128,349.256,0.6829,0.68612,0.96954,0.58991,0.4463,0.46239,0.29668,1.41042,1.9253,1.61528,0.000935675,0.000935675,0.000935675
129,351.953,0.74889,0.80949,1.01785,0.63286,0.40206,0.44612,0.27858,1.46082,1.95819,1.6584,0.0009332,0.0009332,0.0009332
130,354.624,0.73536,0.72414,1.00134,0.59559,0.38706,0.43526,0.28707,1.49063,2.04174,1.67229,0.000930725,0.000930725,0.000930725
131,357.277,0.72863,0.74289,0.99311,0.43761,0.47474,0.42351,0.27772,1.48611,2.06238,1.66951,0.00092825,0.00092825,0.00092825
132,359.962,0.74701,0.79397,1.00765,0.64296,0.37972,0.4359,0.27128,1.50778,2.13175,1.72628,0.000925775,0.000925775,0.000925775
133,362.606,0.74165,0.77298,0.98578,0.59509,0.38444,0.45971,0.2877,1.4988,2.1251,1.71994,0.0009233,0.0009233,0.0009233
134,365.289,0.67094,0.72384,0.98649,0.53946,0.44379,0.45851,0.28978,1.53314,2.08685,1.76909,0.000920825,0.000920825,0.000920825
135,367.947,0.69094,0.74798,0.97775,0.46687,0.4503,0.44071,0.28081,1.49377,2.08407,1.75074,0.00091835,0.00091835,0.00091835
